default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.306,0.009,-0.028,-0.029,-0.364,-0.410,-0.420,-0.440,-0.460,-0.480,-0.500
0.100,0.641,0.467,0.342,0.341,0.132,0.050,-0.080,-0.160,-0.200,-0.240,-0.280
0.200,1.127,0.987,0.875,0.628,0.480,0.340,0.260,0.200,0.100,0.050,-0.030
0.300,1.753,1.602,1.401,1.293,1.140,1.000,0.900,0.800,0.720,0.640,0.580
0.400,2.650,2.480,2.300,2.130,1.950,1.750,1.580,1.450,1.320,1.200,1.100
0.500,3.300,3.250,3.120,2.920,2.680,2.350,2.170,1.980,1.880,1.730,1.610
